TitleName,TvRating,Genre,TitleId,YearMade,Score 
pretty little liars,2016,Drama,TV-14,280,96
shameless (u.s.),2016,Drama,TV-MA,281,97
switched at birth,2015,Drama,TV-14,282,83
new girl,2016,Drama,TV-14,283,91
hart of dixie,2014,Drama,TV-PG,284,81
the client list,2013,Drama,TV-14,285,92
the carrie diaries,2013,Drama,TV-14,286,0
safe haven,2013,Drama,PG-13,287,62
baby daddy,2016,Drama,TV-14,288,80
the night shift,2015,Drama,TV-14,289,93
reign,2015,Drama,TV-14,290,79
grace and frankie,2017,Drama,TV-MA,291,90
how to get away with murder,2016,Drama,TV-14,292,95
fuller house,2016,Drama,TV-G,293,90
finding dory,2016,Drama,PG,294,98
gilmore girls: a year in the life,2016,Drama,TV-14,295,77
13 reasons why,2017,Drama,TV-MA,296,99
gabriel lglesias: iâ€™m sorry for what i said when i was hungry,2016,Drama,TV-14,297,84
amy schumer: the leather special,2017,Drama,TV-MA,298,0
cheer squad,2016,Drama,TV-PG,299,61
dave chappelle,2017,Drama,TV-MA,300,94
the waterboy,1998,Drama,PG-13,301,82
grease,1978,Drama,PG,302,86
the wedding planner,2001,Drama,PG-13,303,0
blow,2001,Drama,R,304,78
high school musical,2006,Drama,TV-G,305,64
high school musical 2,2007,Drama,TV-G,306,58
twilight,2008,Drama,PG-13,307,89
hannah montana: the movie,2009,Drama,G,308,56
the office (u.s.),2012,Drama,TV-14,309,97
bones,2016,Drama,TV-14,310,97
law & order: special victims unit,2015,Drama,TV-14,311,97
prison break,2008,Drama,TV-14,312,98
nurse jackie,2015,Drama,TV-MA,313,82
ncis,2016,Drama,TV-14,314,97
gossip girl,2012,Drama,TV-14,315,96
how i met your mother,2014,Drama,TV-PG,316,94
supernatural,2016,Drama,TV-14,317,95
parks and recreation,2015,Drama,TV-14,318,94
glee,2015,Drama,TV-PG,319,92
the vampire diaries,2017,Drama,TV-14,320,91
criminal minds,2016,Drama,TV-14,321,98
friends,2003,Drama,TV-14,322,98
mean girls 2,2011,Drama,PG-13,323,0
the secret life of the american teenager,2013,Drama,TV-14,324,81
one tree hill,2011,Drama,TV-14,325,90
army wives,2013,Drama,TV-14,326,61
gilmore girls,2006,Drama,TV-14,327,91
private practice,2012,Drama,TV-14,328,88
parenthood,2014,Drama,TV-14,329,79
pretty little liars,2016,Drama,TV-14,330,96
shameless (u.s.),2016,Drama,TV-MA,331,97
new girl,2016,Drama,TV-14,332,91
revenge,2015,Drama,TV-PG,333,84
scandal,2016,Drama,TV-14,334,92
magic mike,2012,Drama,R,335,77
trouble with the curve,2012,Drama,PG-13,336,63
orange is the new black,2016,Drama,TV-MA,337,98
baby daddy,2016,Drama,TV-14,338,80
the night shift,2015,Drama,TV-14,339,93
the originals,2016,Drama,TV-14,340,74
home,2015,Drama,PG,341,94
how to get away with murder,2016,Drama,TV-14,342,95
zootopia,2016,Drama,PG,343,97
finding dory,2016,Drama,PG,344,98
sausage party,2016,Drama,R,345,91
skin wars,2016,Drama,TV-14,346,69
girlboss,2017,Drama,TV-MA,347,94
13 reasons why,2017,Drama,TV-MA,348,99
felipe neto: my life makes no sense,2017,Drama,TV-MA,349,0
cheer squad,2016,Drama,TV-PG,350,61
lost,2010,Drama,TV-14,351,98
