titleName,tvRating,genre,titleId,yearMade,score
The Originals,TV-14,Drama,378,2016,74
The 100,NR,Drama,379,2016,97
Witches of East End,TV-14,Drama,380,2014,0
Bitten,TV-MA,Drama,381,2016,56
London Has Fallen,R,Drama,382,2016,96
Marvel's Jessica Jones,TV-MA,Drama,383,2015,83
Bloodline,TV-MA,Drama,384,2016,0
Grace and Frankie,TV-MA,Drama,385,2017,90
Velvet,TV-14,Drama,386,2016,0
How to Get Away with Murder,TV-14,Drama,387,2016,95
The Crown,TV-MA,Drama,388,2016,84
Jane The Virgin,TV-14,Drama,389,2016,91
Kurt Seyit & Sura,TV-14,Drama,390,2014,0
The Returned,TV-14,Drama,391,2015,0
The Girl in the Book,TV-MA,Drama,392,2015,0
Quantico,TV-14,Drama,393,2016,88
Life in Pieces,TV-14,Drama,394,2015,68
Ingobernable,TV-MA,Drama,395,2017,96
Girlboss,TV-MA,Drama,396,2017,94
13 Reasons Why,TV-MA,Drama,397,2017,99
MerlÃ­,TV-PG,Drama,398,2015,0
Greenleaf,TV-14,Drama,399,2016,62
100 Metros,TV-MA,Drama,400,2016,0
Bones,TV-14,Drama,401,2016,97
Dexter,TV-MA,Drama,402,2013,95
Leverage,TV-PG,Drama,403,2012,86
Grey's Anatomy,TV-14,Drama,404,2016,98
Lie to Me,TV-14,Drama,405,2010,89
Prison Break,TV-14,Comedy,406,2008,98
NCIS,TV-14,Comedy,407,2016,97
Burn Notice,TV-14,Comedy,408,2013,85
Breaking Bad,TV-MA,Comedy,409,2013,97
Criminal Minds,TV-14,Comedy,410,2016,98
White Collar,TV-PG,Comedy,411,2014,93
Luther,TV-14,Comedy,412,2015,69
Hawaii Five-0,TV-14,Comedy,413,2016,96
House of Cards,TV-MA,Comedy,414,2016,91
Last Man Standing,TV-PG,Comedy,415,2015,97
Revenge,TV-PG,Comedy,416,2015,84
Person of Interest,TV-14,Comedy,417,2016,93
Scandal,TV-14,Comedy,418,2016,92
Touch,TV-14,Comedy,419,2012,68
Sherlock,TV-14,Comedy,420,2016,95
Breakout Kings,TV-14,Comedy,421,2012,88
The Client List,TV-14,Comedy,422,2013,92
Arrow,TV-14,Comedy,423,2015,96
The Following,TV-14,Comedy,424,2015,0
"Drugs, Inc.",TV-14,Comedy,425,2015,0
Longmire,TV-14,Comedy,426,2016,92
Ripper Street,TV-MA,Comedy,427,2016,0
The Fall,TV-MA,Comedy,428,2016,61
Death in Paradise,TV-14,Comedy,429,2016,77
Marvel's Agents of S.H.I.E.L.D.,TV-PG,Comedy,430,2016,89
Crossing Lines,TV-14,Comedy,431,2015,66
London Has Fallen,R,Comedy,432,2016,96
Halt and Catch Fire,TV-14,Comedy,433,2016,0
Marvel's Iron Fist,TV-MA,Comedy,434,2017,98
The Honorable Woman,TV-MA,Comedy,435,2014,0
Transporter: The Series,TV-MA,Comedy,436,2014,0
Gotham,TV-14,Comedy,437,2016,85
Better Call Saul,TV-MA,Comedy,438,2016,95
How to Get Away with Murder,TV-14,Comedy,439,2016,95
Narcos,TV-MA,Comedy,440,2016,94
American Odyssey,TV-14,Comedy,441,2015,0
Aquarius,TV-MA,Comedy,442,2015,0
Hap and Leonard,TV-MA,Comedy,443,2016,57
Rosewood,TV-14,Comedy,444,2015,81
Quantico,TV-14,Comedy,445,2016,88
Limitless,TV-14,Comedy,446,2016,84
Travelers,TV-MA,Comedy,447,2016,86
The Doctor Blake Mysteries,TV-MA,Comedy,448,2016,57
I.T,NR,Comedy,449,2016,0
Bordertown,TV-MA,Comedy,450,2016,0
The Office (U.S.),TV-14,Comedy,451,2012,97
Grey's Anatomy,TV-14,Comedy,452,2016,98
Law & Order: Special Victims Unit,TV-14,Comedy,453,2015,97
Lie to Me,TV-14,Comedy,454,2010,89
Prison Break,TV-14,Comedy,455,2008,98
90210,TV-14,Comedy,456,2013,62
Gossip Girl,TV-14,Comedy,457,2012,96
How I Met Your Mother,TV-PG,Comedy,458,2014,94
Parks and Recreation,TV-14,Comedy,459,2015,94
The Vampire Diaries,TV-14,Comedy,460,2017,91
Criminal Minds,TV-14,Comedy,461,2016,98
Friends,TV-14,Comedy,462,2003,98
The West Wing,TV-14,Comedy,463,2005,79
Parenthood,TV-14,Comedy,464,2014,79
White Collar,TV-PG,Comedy,465,2014,93
Blue Bloods,TV-14,Comedy,466,2016,95
House of Cards,TV-MA,Comedy,467,2016,91
Pretty Little Liars,TV-14,Comedy,468,2016,96
The Killing,TV-14,Comedy,469,2014,73
Shameless (U.S.),TV-MA,Comedy,470,2016,97
New Girl,TV-14,Comedy,471,2016,91
Revenge,TV-PG,Comedy,472,2015,84
Person of Interest,TV-14,Comedy,473,2016,93
Once Upon a Time,TV-PG,Comedy,474,2016,98
Scandal,TV-14,Comedy,475,2016,92
Forensic Files,TV-14,Comedy,476,2011,88
Sherlock,TV-14,Comedy,477,2016,95
The Client List,TV-14,Comedy,478,2013,92
Orange Is the New Black,TV-MA,Comedy,479,2016,98
Rectify,TV-14,Comedy,480,2016,0
Black Mirror,TV-MA,Comedy,481,2016,80
Bates Motel,TV-14,Comedy,482,2016,83
The Fall,TV-MA,Comedy,483,2016,61
The Blacklist,TV-14,Comedy,484,2016,96
Being Mary Jane: The Series,TV-14,Comedy,485,2016,0
American Crime,TV-14,Comedy,486,2016,0
Madam Secretary,TV-14,Comedy,487,2016,70
Sense8,TV-MA,Comedy,488,2017,81
Scream,TV-14,Comedy,489,2016,0
Rosewood,TV-14,Comedy,490,2015,81
The Great British Baking Show,TV-PG,Comedy,491,2016,94
Quantico,TV-14,Comedy,492,2016,88
Limitless,TV-14,Comedy,493,2016,84
American Crime Story: The People v. O.J. Simpson,TV-MA,Comedy,494,2016,79
Santa Clarita Diet,TV-MA,Comedy,495,2017,82
No Tomorrow,TV-14,Comedy,496,2016,0
Girlboss,TV-MA,Comedy,497,2017,94
13 Reasons Why,TV-MA,Comedy,498,2017,99
The Doctor Blake Mysteries,TV-MA,Comedy,499,2016,57
Greenleaf,TV-14,Comedy,500,2016,62
The Nightmare Before Christmas,PG,Comedy,501,1993,84
Scooby-Doo,PG,Comedy,502,2002,86
Chicken Little,G,Comedy,503,2005,92
Teenage Mutant Ninja Turtles,PG,Comedy,504,2007,0
Star Wars: The Clone Wars,PG,Comedy,505,2008,57
Coraline,PG,Comedy,506,2009,95
The Smurfs and the Magic Flute,G,Comedy,507,1976,0
We're Back! A Dinosaur's Story,G,Comedy,508,1993,0
Thomas & Friends: Thomas & the Runaway Kite,TV-Y,Comedy,509,2010,0
Dino Squad,TV-Y7,Comedy,510,2008,0
Cars Toons: Mater's Tall Tales,TV-G,Comedy,511,2010,74
LeapFrog: The Amazing Alphabet Amusement Park,TV-Y,Comedy,512,2010,0
Star Wars: The Clone Wars,TV-PG,Comedy,513,2014,93
Phineas and Ferb,TV-G,Comedy,514,2012,89
The Batman,TV-Y7,Comedy,515,2007,77
Justice League,TV-Y7-FV,Comedy,516,2003,66
Justice League Unlimited,TV-Y7-FV,Comedy,517,2005,0
Mighty Morphin Power Rangers,TV-Y7-FV,Comedy,518,2010,73
Young Justice,TV-PG,Comedy,519,2012,71
The Super Mario Bros. Super Show!,TV-Y7,Comedy,520,1989,0
Power Rangers Zeo,TV-Y7-FV,Comedy,521,1996,0
Oscar's Oasis,TV-G,Comedy,522,2011,0
Transformers Prime,TV-Y7-FV,Comedy,523,2013,0
The Adventures of Chuck & Friends,TV-Y,Comedy,524,2011,0
Transformers: Rescue Bots,TV-Y7,Comedy,525,2016,0
Thomas & Friends: King of the Railway,TV-G,Comedy,526,2013,0
LEGO: Marvel Super Heroes: Maximum Overload,TV-Y7-FV,Comedy,527,2013,0
Max Steel,TV-Y7-FV,Comedy,528,2014,0
Transformers Prime Beast Hunters: Predacons Rising,TV-Y7-FV,Comedy,529,2013,0
Agent F.O.X.,PG,Comedy,530,2014,0
VeggieTales in the House,TV-Y,Comedy,531,2016,0
Thunder and the House Of Magic,TV-G,Comedy,532,2013,0
All Hail King Julien,TV-Y7-FV,Comedy,533,2016,71
Kong: King of the Apes,TV-Y7-FV,Comedy,534,2016,0
Marvel Super Hero Adventures: Frost Fight!,PG,Comedy,535,2015,0
Slugterra: Slug Fu Showdown,TV-Y7-FV,Comedy,536,2015,0
Dinotrux,TV-Y7-FV,Comedy,537,2017,0
Edgar Rice Burroughs' Tarzan and Jane,TV-Y7-FV,Comedy,538,2017,0
Lego DC Comics: Batman Be-Leaguered,TV-Y7,Comedy,539,2014,0
Trollhunters,TV-Y7-FV,Comedy,540,2016,83
Power Rangers Dino Charge,TV-Y7,Comedy,541,2015,0
Bunks,TV-PG,Comedy,542,2013,0
The Jungle Book,PG,Comedy,543,2016,97
The Angry Birds Movie,PG,Comedy,544,2016,92
The Secret Life of Pets,PG,Comedy,545,2016,0
The Furchester Hotel,TV-Y,Comedy,546,2015,0
Marvel's Hulk: Where Monsters Dwell,PG,Comedy,547,2016,0
Angry Birds,TV-G,Comedy,548,2013,0
Talking Tom and Friends,TV-G,Comedy,549,2016,61
Nexo Knights,TV-Y7-FV,Comedy,550,2015,0
The Nightmare Before Christmas,PG,Comedy,551,1993,84
An Extremely Goofy Movie,G,Comedy,552,1999,67
Scooby-Doo,PG,Comedy,553,2002,86
