TitleName,YearMade,Genre,TvRating,TitleId,Score
How to Get Away with Murder,2016,Comedy,TV-14,439,95
Narcos,2016,Comedy,TV-MA,440,94
American Odyssey,2015,Comedy,TV-14,441,0
Aquarius,2015,Comedy,TV-MA,442,0
Hap and Leonard,2016,Comedy,TV-MA,443,57
Rosewood,2015,Comedy,TV-14,444,81
Quantico,2016,Comedy,TV-14,445,88
Limitless,2016,Comedy,TV-14,446,84
Travelers,2016,Comedy,TV-MA,447,86
The Doctor Blake Mysteries,2016,Comedy,TV-MA,448,57
I.T,2016,Comedy,NR,449,0
Bordertown,2016,Comedy,TV-MA,450,0
The Office (U.S.),2012,Comedy,TV-14,451,97
Grey's Anatomy,2016,Comedy,TV-14,452,98
Law & Order: Special Victims Unit,2015,Comedy,TV-14,453,97
Lie to Me,2010,Comedy,TV-14,454,89
Prison Break,2008,Comedy,TV-14,455,98
90210,2013,Comedy,TV-14,456,62
Gossip Girl,2012,Comedy,TV-14,457,96
How I Met Your Mother,2014,Comedy,TV-PG,458,94
Parks and Recreation,2015,Comedy,TV-14,459,94
The Vampire Diaries,2017,Comedy,TV-14,460,91
Criminal Minds,2016,Comedy,TV-14,461,98
Friends,2003,Comedy,TV-14,462,98
The West Wing,2005,Comedy,TV-14,463,79
Parenthood,2014,Comedy,TV-14,464,79
White Collar,2014,Comedy,TV-PG,465,93
Blue Bloods,2016,Comedy,TV-14,466,95
House of Cards,2016,Comedy,TV-MA,467,91
Pretty Little Liars,2016,Comedy,TV-14,468,96
The Killing,2014,Comedy,TV-14,469,73
Shameless (U.S.),2016,Comedy,TV-MA,470,97
New Girl,2016,Comedy,TV-14,471,91
Revenge,2015,Comedy,TV-PG,472,84
Person of Interest,2016,Comedy,TV-14,473,93
Once Upon a Time,2016,Comedy,TV-PG,474,98
Scandal,2016,Comedy,TV-14,475,92
Forensic Files,2011,Comedy,TV-14,476,88
Sherlock,2016,Comedy,TV-14,477,95
The Client List,2013,Comedy,TV-14,478,92
Orange Is the New Black,2016,Comedy,TV-MA,479,98
Rectify,2016,Comedy,TV-14,480,0
Black Mirror,2016,Comedy,TV-MA,481,80
Bates Motel,2016,Comedy,TV-14,482,83
The Fall,2016,Comedy,TV-MA,483,61
The Blacklist,2016,Comedy,TV-14,484,96
Being Mary Jane: The Series,2016,Comedy,TV-14,485,0
American Crime,2016,Comedy,TV-14,486,0
Madam Secretary,2016,Comedy,TV-14,487,70
Sense8,2017,Comedy,TV-MA,488,81
Scream,2016,Comedy,TV-14,489,0
Rosewood,2015,Comedy,TV-14,490,81
The Great British Baking Show,2016,Comedy,TV-PG,491,94
Quantico,2016,Comedy,TV-14,492,88
Limitless,2016,Comedy,TV-14,493,84
American Crime Story: The People v. O.J. Simpson,2016,Comedy,TV-MA,494,79
Santa Clarita Diet,2017,Comedy,TV-MA,495,82
No Tomorrow,2016,Comedy,TV-14,496,0
Girlboss,2017,Comedy,TV-MA,497,94
13 Reasons Why,2017,Comedy,TV-MA,498,99
The Doctor Blake Mysteries,2016,Comedy,TV-MA,499,57
Greenleaf,2016,Comedy,TV-14,500,62
The Nightmare Before Christmas,1993,Comedy,PG,501,84
Scooby-Doo,2002,Comedy,PG,502,86
Chicken Little,2005,Comedy,G,503,92
Teenage Mutant Ninja Turtles,2007,Comedy,PG,504,0
Star Wars: The Clone Wars,2008,Comedy,PG,505,57
Coraline,2009,Comedy,PG,506,95
The Smurfs and the Magic Flute,1976,Comedy,G,507,0
We're Back! A Dinosaur's Story,1993,Comedy,G,508,0
Thomas & Friends: Thomas & the Runaway Kite,2010,Comedy,TV-Y,509,0
Dino Squad,2008,Comedy,TV-Y7,510,0
Cars Toons: Mater's Tall Tales,2010,Comedy,TV-G,511,74
LeapFrog: The Amazing Alphabet Amusement Park,2010,Comedy,TV-Y,512,0
Star Wars: The Clone Wars,2014,Comedy,TV-PG,513,93
Phineas and Ferb,2012,Comedy,TV-G,514,89
The Batman,2007,Comedy,TV-Y7,515,77
Justice League,2003,Comedy,TV-Y7-FV,516,66
Justice League Unlimited,2005,Comedy,TV-Y7-FV,517,0
Mighty Morphin Power Rangers,2010,Comedy,TV-Y7-FV,518,73
Young Justice,2012,Comedy,TV-PG,519,71
The Super Mario Bros. Super Show!,1989,Comedy,TV-Y7,520,0
Power Rangers Zeo,1996,Comedy,TV-Y7-FV,521,0
Oscar's Oasis,2011,Comedy,TV-G,522,0
Transformers Prime,2013,Comedy,TV-Y7-FV,523,0
The Adventures of Chuck & Friends,2011,Comedy,TV-Y,524,0
Transformers: Rescue Bots,2016,Comedy,TV-Y7,525,0
Thomas & Friends: King of the Railway,2013,Comedy,TV-G,526,0
LEGO: Marvel Super Heroes: Maximum Overload,2013,Comedy,TV-Y7-FV,527,0
Max Steel,2014,Comedy,TV-Y7-FV,528,0
Transformers Prime Beast Hunters: Predacons Rising,2013,Comedy,TV-Y7-FV,529,0
Agent F.O.X.,2014,Comedy,PG,530,0
VeggieTales in the House,2016,Comedy,TV-Y,531,0
Thunder and the House Of Magic,2013,Comedy,TV-G,532,0
All Hail King Julien,2016,Comedy,TV-Y7-FV,533,71
Kong: King of the Apes,2016,Comedy,TV-Y7-FV,534,0
Marvel Super Hero Adventures: Frost Fight!,2015,Comedy,PG,535,0
Slugterra: Slug Fu Showdown,2015,Comedy,TV-Y7-FV,536,0
Dinotrux,2017,Comedy,TV-Y7-FV,537,0
Edgar Rice Burroughs' Tarzan and Jane,2017,Comedy,TV-Y7-FV,538,0
Lego DC Comics: Batman Be-Leaguered,2014,Comedy,TV-Y7,539,0
Trollhunters,2016,Comedy,TV-Y7-FV,540,83
Power Rangers Dino Charge,2015,Comedy,TV-Y7,541,0
Bunks,2013,Comedy,TV-PG,542,0
The Jungle Book,2016,Comedy,PG,543,97
The Angry Birds Movie,2016,Comedy,PG,544,92
The Secret Life of Pets,2016,Comedy,PG,545,0
The Furchester Hotel,2015,Comedy,TV-Y,546,0
Marvel's Hulk: Where Monsters Dwell,2016,Comedy,PG,547,0
Angry Birds,2013,Comedy,TV-G,548,0
Talking Tom and Friends,2016,Comedy,TV-G,549,61
Nexo Knights,2015,Comedy,TV-Y7-FV,550,0
The Nightmare Before Christmas,1993,Comedy,PG,551,84
An Extremely Goofy Movie,1999,Comedy,G,552,67
Scooby-Doo,2002,Comedy,PG,553,86
The Iron Giant,1999,Comedy,PG,554,83
Star Wars: The Clone Wars,2008,Comedy,PG,555,57
Cars Toons: Mater's Tall Tales,2010,Comedy,TV-G,556,74
The Batman,2007,Comedy,TV-Y7,557,77
Justice League,2003,Comedy,TV-Y7-FV,558,66
Justice League Unlimited,2005,Comedy,TV-Y7-FV,559,0
The Cat in the Hat Knows a Lot About That!,2014,Comedy,TV-Y,560,0
Mighty Morphin Power Rangers,2010,Comedy,TV-Y7-FV,561,73
Bob the Builder,2015,Comedy,TV-Y,562,0
Beyblade: Metal Fusion,2009,Comedy,TV-Y7,563,0
Ninja Turtles: The Next Mutation,1997,Comedy,TV-Y7-FV,564,0
Transformers Prime,2013,Comedy,TV-Y7-FV,565,0
DreamWorks Kung Fu Panda Awesome Secrets,2008,Romance,TV-PG,566,0
LEGO Ninjago: Masters of Spinjitzu,2015,Romance,TV-Y7-FV,567,67
Transformers: Rescue Bots,2016,Romance,TV-Y7,568,0
Goosebumps,1998,Romance,TV-Y7,569,88
LEGO Ninjago: Masters of Spinjitzu: Way of the Ninja,2011,Romance,TV-Y7-FV,570,0
Super Buddies,2013,Romance,G,571,0
Tad: The Lost Explorer,2012,Romance,TV-PG,572,0
Pok̩mon: Indigo League,2000,Romance,TV-Y,573,74
Ratchet and Clank,2016,Romance,PG,574,74
Pac-Man and the Ghostly Adventures,2014,Romance,TV-Y7,575,0
Iron Man & Captain America: Heroes United,2014,Romance,PG,576,0
Power Rangers Super Megaforce,2014,Romance,TV-Y7,577,0
Chuggington,2015,Romance,TV-Y,578,0
All Hail King Julien,2016,Romance,TV-Y7-FV,579,71
